Munic&iacute;pio [-],C&oacute;digo [-],Gent&iacute;lico [-],Prefeito [2021],&Aacute;rea Territorial - km&sup2; [2021],Popula&ccedil;&atilde;o estimada - pessoas [2021],Densidade demogr&aacute;fica - hab/km&sup2; [2010],Escolariza&ccedil;&atilde;o &lt;span&gt;6 a 14 anos&lt;/span&gt; - % [2010],IDHM &lt;span&gt;&Iacute;ndice de desenvolvimento humano municipal&lt;/span&gt; [2010],Mortalidade infantil - &oacute;bitos por mil nascidos vivos [2020],Receitas realizadas - R$ (&times;1000) [2017],Despesas empenhadas - R$ (&times;1000) [2017],PIB per capita - R$ [2019],
Gua&ccedil;u&iacute;,3202306,gua&ccedil;uiense,MARCOS LUIZ JAUHAR,468.185,31372,59.47,96.9,0.703,16.36,81802.57039,75126.185,17345.82,;;;;;;;;;;;;;;;;;;;;
Guarapari,3202405,guarapariense,EDSON FIGUEIREDO MAGALH&Atilde;ES,589.825,128504,177.10,96.2,0.731,6.69,304897.04386,273349.30135,18600.78,;;;;;;;;;;;;;;;;;;;;;;
Ibatiba,3202454,ibatibense,LUCIANO MIRANDA SALGADO,240.278,26762,92.98,97.3,0.647,2.56,57827.313,51341.40032,11849.32,;;;;;;;;;;;;;;;;;;;;;;;
Ibira&ccedil;u,3202504,ibira&ccedil;uense,DIEGO KRENTZ,201.248,12701,55.54,97.7,0.726,12.42,40159.82599,35787.47223,22545.78,;;;;;;;;;;;;;;;;;;;;;
Ibitirama,3202553,ibitiranense,PAULO LEMOS BARBOSA,330.874,8830,27.15,96.4,0.622,6.94,30261.0385,29413.91869,12127.65,;;;;;;;;;;;;;;;;;;;;;;;
Iconha,3202603,iconhense,GEDSON BRANDAO PAULINO,203.528,14083,61.53,98.8,0.729,-,53460.46834,44995.66633,23115.94,;;;;;;;;;;;;;;;;;;;;;;;
Irupi,3202652,irupiense,EDMILSON MEIRELES DE OLIVEIRA,184.807,13672,63.52,96.3,0.637,26.6,37204.39835,33184.02207,12583.20,;;;;;;;;;;;;;;;;;;;;;;;
Itagua&ccedil;u,3202702,itagua&ccedil;uense,UESLEY ROQUE CORTELETTI THON,535.021,13982,26.59,98.7,0.702,-,42696.73154,37269.34796,18432.53,;;;;;;;;;;;;;;;;;;;;;
Itapemirim,3202801,itapemirinense,THIAGO PECANHA LOPES,550.710,34957,55.15,97.6,0.654,4.77,381848.46877,369600.71933,140287.91,;;;;;;;;;;;;;;;;;;;;;;;
Itarana,3202900,itaranense,VANDER PATRICIO,295.189,10433,36.42,97,0.684,8.85,34374.6133,30283.12414,19891.46,;;;;;;;;;;;;;;;;;;;;;;;
I&uacute;na,3203007,iunense,ROM&Aacute;RIO BATISTA VIEIRA,460.586,29417,59.27,97.4,0.666,6.04,65186.671,59094.90751,14723.38,;;;;;;;;;;;;;;;;;;;;;
Jaguar&eacute;,3203056,jaguarense,MARCOS ANTONIO GUERRA WANDERMUREM,659.751,31589,37.41,96.9,0.678,5.86,91331.87263,78825.19934,20731.51,;;;;;;;;;;;;;;;;;;;;;;
Jer&ocirc;nimo Monteiro,3203106,monteirense,S&Eacute;RGIO FARIAS FONSECA,177.342,12336,67.16,98.5,0.698,-,38388.94962,34069.03553,11358.85,;;;;;;;;;;;;;;;;;;;;;
Jo&atilde;o Neiva,3203130,jo&atilde;o-neivense,PAULO SERGIO DE NARDI,284.735,16774,55.52,98.7,0.753,15.96,59209.0814,45848.60489,25012.53,;;;;;;;;;;;;;;;;;;;;;
